horizon,policy,granularity,period,n_train,n_test,mae,rmse,r2
1,monthly_expanding,month,2022-08,2739,31,0.6411146962765674,0.7961789999895552,0.19863866318053924
1,monthly_expanding,month,2022-09,2770,30,0.6145465995419266,0.7467327082282983,0.27641622385349285
1,monthly_expanding,month,2022-10,2800,31,0.7660634260738668,0.9617803218046932,-0.14732260364186844
1,monthly_expanding,month,2022-11,2831,30,0.580450864978421,0.7446658042646432,0.5145945727931476
1,monthly_expanding,month,2022-12,2861,31,0.5506220498541338,0.6766363640397984,0.5639779451138666
1,monthly_expanding,month,2023-01,2892,31,0.5249881559437433,0.6756073961720295,0.5782269375330598
1,monthly_expanding,month,2023-02,2923,28,0.45156867742247336,0.544683130241951,0.2806874860891464
1,monthly_expanding,month,2023-03,2951,31,0.3255402179560913,0.43763933386807863,0.826774909864001
1,monthly_expanding,month,2023-04,2982,30,0.4851841166480796,0.6064318912661883,0.06649459930556878
1,monthly_expanding,month,2023-05,3012,31,0.8246592733835749,1.0305508369564251,0.4545137617571824
1,monthly_expanding,month,2023-06,3043,30,0.6392029052455744,0.8411853501719947,0.3297970827400434
1,monthly_expanding,month,2023-07,3073,31,0.613834961225637,0.7492084093093868,0.40748898923848276
1,monthly_expanding,month,2023-08,3104,31,0.5535372096461563,0.6408833303943697,0.43696091964301476
1,monthly_expanding,month,2023-09,3135,30,0.5064303147455664,0.6560496902240158,-0.07314128002749287
1,monthly_expanding,month,2023-10,3165,31,0.6150017897662383,0.7272700514632254,0.15461899947965074
1,monthly_expanding,month,2023-11,3196,30,0.5739165652262358,0.6940581621834104,0.1228045903931857
1,monthly_expanding,month,2023-12,3226,31,0.5344043613366118,0.6398045192100807,0.3472085564495395
1,monthly_expanding,month,2024-01,3257,31,0.39920465221275353,0.49465505041106744,0.26167747500569616
1,monthly_expanding,month,2024-02,3288,29,0.4315241276717834,0.5725296008723108,0.3512695651177079
1,monthly_expanding,month,2024-03,3317,31,0.2929302900206188,0.38638031127766836,0.559645657181554
1,monthly_expanding,month,2024-04,3348,30,0.500123637917911,0.6951138254465065,0.011333619883623025
1,monthly_expanding,month,2024-05,3378,31,0.8698229697449565,1.0902061128707339,0.17590480290935973
